Country,year,Debt
España,2019,1188862
Alemania,2019,2053033
Reino Unido,2019,2223544
Francia,2019,2380106
Italia,2019,2409841
Portugal,2019,249980
Estados Unidos,2018,18160427
Japón,2017,10112535
China,2018,5729759
Emiratos Árabes Unidos,2017,66897
Afganistán,2018,1145
Antigua y Barbuda,2018,1220
Albania,2018,8911
Armenia,2018,5401
Angola,2018,79775
Argentina,2018,378385
Austria,2019,280426
Australia,2018,497213
Azerbaiyán,2018,7451
Bosnia y Herzegovina,2018,5845
Barbados,2018,5440
Bangladés,2018,77497
Bélgica,2019,467160
Burkina Faso,2018,5131
Bulgaria,2019,12376
Baréin,2018,30269
Burundi,2015,1226
Benín,2018,4957
Brunéi,2018,297
Bolivia,2017,17150
Brasil,2018,1389520
Bahamas,2018,6579
Bután,2018,2237
Botsuana,2018,1935
Bielorrusia,2018,24146
Belice,2018,1551
Canadá,2018,1303612
República Democrática del Congo,2018,6098
República Centroafricana,2018,964
República del Congo,2018,8672
Suiza,2017,256771
Costa de Marfil,2018,19387
Chile,2018,64507
Camerún,2017,11640
Colombia,2018,146114
Costa Rica,2018,27404
Cabo Verde,2018,2085
Chipre,2019,20958
República Checa,2019,68432
Yibuti,2018,1187
Dinamarca,2019,103170
Dominica,2018,353
República Dominicana,2018,36568
Argelia,2018,56379
Ecuador,2018,42005
Estonia,2019,2360
Egipto,2018,195704
Eritrea,2018,2961
Etiopía,2018,41483
Finlandia,2019,142507
Fiyi,2018,2158
Estados Federados de Micronesia,2018,63
Gabón,2018,8664
Granada,2018,637
Georgia,2017,6021
Ghana,2018,32880
Gambia,2018,1191
Guinea,2018,3913
Guinea Ecuatorial,2017,4136
Grecia,2019,331063
Guatemala,2018,16394
Guinea-Bisáu,2018,778
Guyana,2018,1747
Hong Kong,2018,162
Honduras,2018,8091
Croacia,2019,39387
Haiti,2018,2719
Hungría,2019,93911
Indonesia,2018,260433
Irlanda,2019,204044
Israel,2017,188958
India,2018,1565963
Irak,2017,101983
Irán,2018,121491
Islandia,2018,8267
Jamaica,2018,12662
Jordania,2018,33794
Kenia,2018,44762
Kirguistán,2018,3838
Camboya,2018,5925
Kiribati,2017,35
Comoras,2018,210
San Cristóbal y Nieves,2018,502
Corea del Sur,2017,541803
Kuwait,2017,21893
Kazajistán,2018,30751
Laos,2017,8434
Líbano,2017,70429
Santa Lucía,2018,1056
Sri Lanka,2018,62666
Liberia,2018,1098
Lesoto,2018,1022
Lituania,2019,17524
Luxemburgo,2019,14013
Letonia,2019,11245
Libia,2014,12162
Marruecos,2018,65169
Moldavia,2018,2840
Montenegro,2018,3352
Madagascar,2018,4678
Islas Marshall,2017,50
Macedonia del Norte,2018,4340
Malí,2018,5420
Birmania - Myanmar,2018,22180
Mauritania,2017,3310
Malta,2019,5696
Mauricio,2018,8111
Maldivas,2018,3068
Malaui,2018,3478
México,2018,554636
Malasia,2018,168649
Mozambique,2018,12165
Namibia,2018,5685
Níger,2017,3917
Nigeria,2018,91873
Nicaragua,2018,4131
Países Bajos,2019,394630
Noruega,2018,146871
Nepal,2018,7423
Nauru,2017,58
Nueva Zelanda,2018,51306
Omán,2018,35808
Panamá,2018,21741
Perú,2018,49880
Papúa Nueva Guinea,2015,5859
Filipinas,2018,109012
Pakistán,2018,190885
Polonia,2019,245518
Paraguay,2018,7604
Catar,2018,78756
Rumanía,2019,78091
Serbia,2018,23319
Rusia,2018,204864
Ruanda,2018,3273
Arabia Saudita,2018,126348
Islas Salomón,2017,108
Seychelles,2018,763
Sudán,2018,61535
Suecia,2019,168959
Singapur,2018,352412
Eslovenia,2019,31744
Eslovaquia,2019,45202
Sierra Leona,2018,2176
San Marino,2017,1037
Senegal,2018,12242
Surinam,2017,2121
Sudán del Sur,2018,1638
Santo Tomé y Príncipe,2018,267
El Salvador,2018,14791
Siria,2009,12083
Suazilandia,2018,1428
Chad,2017,4441
Togo,2018,3453
Tailandia,2018,177592
Tayikistán,2017,3188
Timor Oriental,2017,95
Turkmenistán,2017,9679
Túnez,2016,23526
Turquía,2018,196944
Trinidad y Tobago,2018,8568
Tuvalu,2018,10
Taiwan,2018,175052
Tanzania,2018,17945
Ucrania,2018,66685
Uganda,2018,9844
Uruguay,2018,32081
Uzbekistán,2018,8822
San Vicente y las Granadinas,2018,511
Venezuela,2017,29418
Vietnam,2017,113620
Vanuatu,2017,406
Samoa,2018,367
Yemen,2017,18331
Sudáfrica,2018,176700
Zambia,2017,14168
Zimbabue,2017,10247
